Code;Charge_disks;Date;Time;comment;time_exposed [d];Vol_Part;Vol_all
CH12;Blank;17.12.16;;;;3.388607595;7.110126582
CH15;Blank;17.12.16;;;;3.536708861;7.186075949
CH7;Blank;15.12.16;14:45:00;;;3.601265823;7.15443038
CH8;Blank;15.12.16;14:45:00;;;3.602531646;7.108860759
CH10;Ver I;22.12.16;15:10:00;Verlust von ca. 1 mL;7;3.584810127;7.05443038
CH11;Ver I;20.12.16;15:15:00;;5;3.575949367;7.017721519
CH13;Ver I;20.12.16;15:15:00;;5;3.541772152;7.087341772
CH14;Ver I;16.12.16;15:25:00;;1;3.567088608;7.051898734
CH17;Ver I;18.12.16;15:15:00;;3;3.603797468;7.196202532
CH18;Ver I;22.12.16;15:10:00;;7;3.581012658;7.078481013
CH2;Ver I;19.12.16;15:15:00;;4;3.37721519;7.232911392
CH20;Ver I;18.12.16;15:15:00;;3;3.589873418;7.101265823
CH3;Ver I;16.12.16;15:20:00;;1;3.494936709;6.987341772
CH6;Ver I;19.12.16;15:10:00;Verlust von ca. 1 mL;4;3.594936709;6.911392405
CH1;Ver II;22.12.16;15:15:00;;5;3.394936709;7.182278481
CH16;Ver II;18.12.16;15:20:00;;1;3.578481013;7.296202532
CH19;Ver II;18.12.16;15:20:00;;1;3.663291139;6.943037975
CH4;Ver II;20.12.16;15:25:00;;3;3.350632911;7.048101266
CH5;Ver II;22.12.16;15:15:00;;5;3.592405063;7.143037975
CH9;Ver II;20.12.16;15:20:00;;3;3.581012658;7.194936709
