code;extact time;Time_after_Disk_1;Time_after_Disk_2;comment
CH1;15.12.  15:25 Uhr;0;NA;
CH2;16.12. 15:45 Uhr;24;NA;
CH3;17.12. 15:05 Uhr;48;0;
CH15;18.12. 10:00 Uhr;67;19;
CH14;18.12. 15:00 Uhr;72;24;
CH13;18.12. 22:00 Uhr;79;31;
CH4;18.12. 8:55 Uhr;66;18;
CH16;18.12. 9:20 Uhr;66.3;18.3;start peak
CH11;19.12. 15:00 Uhr;96;48;
CH10;19.12. 22:00 Uhr;103;55;
CH12;19.12. 7:00 Uhr;88;40;
CH8;20.12. 15:45 Uhr;120.75;72.75;
CH9;20.12. 7:00 Uhr;112;64;
CH6;21.12. 14:50 Uhr;143.8;95.8;
CH7;21.12. 8:30 Uhr;137.5;89.5;
CH5;22.12. 15:00 Uhr;168;120;
